client_first_name,client_second_name,client_last_name,sex_pl,sex_eng,sex_shortcut_pl,sex_shortcut_eng,client_age,client_business_key
Dąbrówka,,Waśkowicz,Kobieta,Female,K,F,30,DW064072030K
Letycja,,Nowak,Kobieta,Female,K,F,68,LN056040068K
Elżbieta,,Fikus,Kobieta,Female,K,F,67,EF064040067K
Mirosława,,Mazuś,Kobieta,Female,K,F,23,MM072040023K
Izabela,,Konieczko,Kobieta,Female,K,F,78,IK056072078K
Leon,,Pakosz,Mężczyzna,Male,M,M,22,LP032048022M
Samuel,,Józefowicz,Mężczyzna,Male,M,M,89,SJ048080089M
Zorian,,Gryga,Mężczyzna,Male,M,M,75,ZG048040075M
Wiktor,,Dziubdziela,Mężczyzna,Male,M,M,21,WD048088021M
Marceli,Beniamin,Danielak,Mężczyzna,Male,M,M,60,MD056064060M
Miłosz,,Kononowicz,Mężczyzna,Male,M,M,59,MK048080059M
Bartłomiej,,Słomka,Mężczyzna,Male,M,M,80,BS080048080M
Krzysztof,,Marcinkiewicz,Mężczyzna,Male,M,M,47,KM072104047M
Zachariasz,,Kopiczko,Mężczyzna,Male,M,M,66,ZK080064066M
Seweryn,,Kiszka,Mężczyzna,Male,M,M,39,SK056048039M
